CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
200045,0,20045,SWN,SWN,SWF,SGX,"Baltic Capesize Time Charter Average (5 Routes)",ETH,Last,"SWF,SWD,SWN",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2018-01-23,2020-01-02,"","20:15 - 04:45",,"",0,0,1,0,1,
200046,0,20046,PVF,PVF,PVF,SGX,"Baltic Panamax Time Charter Average",Combined,Settlement,"PVF,PV2,PV1",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2015-01-02,2020-01-03,"","20:15 - 20:00",,"",0,0,1,0,1,
200047,0,20047,PV2,PV2,PVF,SGX,"Baltic Panamax Time Charter Average",RTH,Settlement,"PVF,PV2,PV1",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2015-01-02,2020-01-03,"","07:25 - 20:00",,"",0,0,1,0,1,
200048,0,20048,PV1,PV1,PVF,SGX,"Baltic Panamax Time Charter Average",ETH,Last,"PVF,PV2,PV1",0,1,1,USD,"1 day","USD/day",1,1,VVVVVVVVVVVV,2018-01-23,2020-01-02,"","20:15 - 04:45",,"",0,0,1,0,1,
200049,0,20049,SI6,SI6,IU,SGX,"INR/USD",RTH,Settlement,"SIU,SI6,SI5",1,0.2,200,USD,"2000000 Indian Rupee","USc/100 Indian Rupee",10,2,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","07:25 - 19:30",,"",3,0,1,0,1,17250
200050,0,20050,SI5,SI5,IU,SGX,"INR/USD",ETH,Last,"SIU,SI6,SI5",1,0.2,200,USD,"2000000 Indian Rupee","USc/100 Indian Rupee",10,2,VVVVVVVVVVVV,2015-01-02,2021-08-11,"","19:50 - 04:45",,"",3,0,1,0,1,5792
200051,0,20051,SAC,SAC,ACF,SGX,"TSI FOB Australia Premium Coking Coal",Combined,Settlement,"SAC,SA4,SA3",1,1,100,USD,"100 metric ton","USD/metric ton",1,1,VVVVVVVVVVVV,2014-08-04,2021-08-11,"","20:15 - 20:00",,"",2,0,1,0,1,220
200052,0,20052,SA4,SA4,ACF,SGX,"TSI FOB Australia Premium Coking Coal",RTH,Settlement,"SAC,SA4,SA3",1,1,100,USD,"100 metric ton","USD/metric ton",1,1,VVVVVVVVVVVV,2014-08-04,2021-08-11,"","07:25 - 20:00",,"",2,0,1,0,1,310
200053,0,20053,SA3,SA3,ACF,SGX,"TSI FOB Australia Premium Coking Coal",ETH,Last,"SAC,SA4,SA3",1,1,100,USD,"100 metric ton","USD/metric ton",1,1,VVVVVVVVVVVV,2014-12-02,2021-08-11,"","20:15 - 04:45",,"",2,0,1,0,1,110
200054,0,20054,3MF,3MF,3MF,SGX,"Platts Singapore Fuel Oil 380cst Index",Combined,Settlement,"3MF,3M2,3M1",1,1,100,USD,"100 metric ton","USD/metric ton",1,1,VVVVVVVVVVVV,2018-06-14,2021-08-11,"","20:15 - 20:00",,"",2,0,1,0,1,0
200055,0,20055,3M2,3M2,3MF,SGX,"Platts Singapore Fuel Oil 380cst Index",RTH,Settlement,"3MF,3M2,3M1",1,1,100,USD,"100 metric ton","USD/metric ton",1,1,VVVVVVVVVVVV,2018-06-14,2021-08-11,"","07:25 - 20:00",,"",2,0,1,0,1,0
200056,0,20056,3M1,3M1,3MF,SGX,"Platts Singapore Fuel Oil 380cst Index",ETH,Last,"3MF,3M2,3M1",1,1,100,USD,"100 metric ton","USD/metric ton",1,1,VVVVVVVVVVVV,2018-06-14,2021-08-11,"","20:15 - 04:45",,"",2,0,1,0,1,0
200522,0,20522,TAI,TAI,TWN,SGX,"FTSE Taiwan Index",Combined,Settlement,"TAI,TA2,TA1",1,0.4,40,USD,"USD 40 x Index","points",25,10,SSVSSVSSVSSV,2020-07-20,2021-08-11,"STW starts at 1997-01-09","14:15 - 13:45",,"",2,0,1,0,1,33398
200523,0,20523,TA2,TA2,TWN,SGX,"FTSE Taiwan Index",RTH,Settlement,"TAI,TA2,TA1",1,0.4,40,USD,"USD 40 x Index","points",25,10,SSVSSVSSVSSV,2020-07-20,2021-08-11,"","08:45 - 13:45",,"",2,0,1,0,1,29505
200524,0,20524,TA1,TA1,TWN,SGX,"FTSE Taiwan Index",ETH,Last,"TAI,TA2,TA1",1,0.4,40,USD,"USD 40 x Index","points",25,10,SSVSSVSSVSSV,2020-07-20,2021-08-11,"","14:15 - 05:15",,"",2,0,1,0,1,10296
200537,0,20537,SID,SID,FID,SGX,"FTSE Indonesia Index",Combined,Settlement,"SID,SI8,SI7",1,0.05,5,USD,"USD 5 x Index","points",100,5,SSVSSVSSVSSV,2020-09-14,2021-08-11,"SDX starts at 2012-08-24","17:55 - 17:25",,"",2,0,1,0,1,354
200538,0,20538,SI8,SI8,FID,SGX,"FTSE Indonesia Index",RTH,Settlement,"SID,SI8,SI7",1,0.05,5,USD,"USD 5 x Index","points",100,5,SSVSSVSSVSSV,2020-09-14,2021-08-11,"","09:00 - 17:25",,"",2,0,1,0,1,16
