CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
100635,0,1635,DET,DET,FEST,EUREX,"Euro STOXX Telcom",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,215
100636,0,1636,DJV,DJV,FSTV,EUREX,"STOXX Europe 600 Travel & Leisure",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,1067
100637,0,1637,DE5,DE5,FESV,EUREX,"Euro STOXX Travel & Leisure",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,6
100638,0,1638,DJZ,DJZ,FSTZ,EUREX,"STOXX Europe 600 Personal & Househould Goods",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,438
100639,0,1639,DEZ,DEZ,FESZ,EUREX,"Euro STOXX Personal & Househould Goods",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",1,0.5,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,20
100640,0,1640,BTS,BTS,FBTS,EUREX,"Short Euro BTP",,Settlement,"",1,10,1000,EUR,"EUR 100000","points",1,10,IIVIIVIIVIIV,2011-01-11,2022-01-07,"","08:00 - 19:00",,"",2,0,1,0,1,74921
100641,0,1641,B2S,B2S,FBTS,EUREX,"Short Euro BTP",,Last,"",1,10,1000,EUR,"EUR 100000","points",1,10,IIVIIVIIVIIV,2011-01-12,2022-01-07,"","08:00 - 19:00",,"",2,0,1,0,1,53175
100752,0,1752,FOA,FOA,FOAT,EUREX,"Euro-OAT (10yr)",,Settlement,"",1,10,1000,EUR,"EUR 100000","Percent",1,10,IIVIIVIIVIIV,2012-04-19,2022-01-07,"","08:00 - 19:00",,"",2,0,1,0,1,146614
100759,0,1759,FXP,FXP,FXXP,EUREX,"STOXX Europe 600 Index",,Settlement,"",1,5,50,EUR,"EUR 50 x Index","points",1,5,IIVIIVIIVIIV,2012-05-22,2022-01-07,"","07:50 - 22:00",,"",1,0,1,0,1,60239
100862,0,1862,FOM,FOM,FOAM,EUREX,"Mid-Term Euro-OAT (5yr)",,Settlement,"",1,10,1000,EUR,"EUR 100000","Percent",1,10,IIVIIVIIVIIV,2013-03-11,2022-01-07,"","08:00 - 19:00",,"",2,0,1,0,1,0
100863,0,1863,RDX,RDX,FRDX,EUREX,"RDX USD Index",,Settlement,"",1,0.1,10,USD,"USD 10","points",50,5,IIVIIVIIVIIV,2012-05-31,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,184
100952,0,1952,TD2,TD2,FTDX,EUREX,"TecDAX Index",,Last,"",1,0.1,10,EUR,"EUR 10 x Index","points",50,5,IIVIIVIIVIIV,2005-11-30,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,319
100956,0,1956,FTX,FTX,FATX,EUREX,"ATX Index",,Settlement,"",1,0.1,10,EUR,"EUR 10 x Index","points",50,5,IIVIIVIIVIIV,2014-02-10,2022-01-07,"ATX starts at 1992-11-10","07:50 - 22:00",,"",2,0,1,0,1,20
200101,0,20101,DDX,DDX,FDIV,EUREX,"DivDAX",,Settlement,"",1,2,200,EUR,"EUR 200 x index","points",5,10,IIVIIVIIVIIV,2015-01-14,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,6
200102,0,20102,MCP,MCP,FMCP,EUREX,"STOXX Europe Mid 200",,Settlement,"",1,0.5,50,EUR,"EUR 50 x index","points",10,5,IIVIIVIIVIIV,2015-01-14,2022-01-07,"","07:50 - 22:00",,"",2,0,1,0,1,679
200103,0,20103,D3D,D3D,FD3D,EUREX,"Euro STOXX Select Div 30 Index Dividend",,Settlement,"",1,1,100,EUR,"EUR 100 x index","points",10,10,IIIIIIIIIIIV,2015-01-14,2022-01-07,"","08:30 - 18:30",,"",2,0,1,0,1,750
